日期,开盘价,最高价,收盘价,最低价,成交量,价格变动,涨跌幅,5日均价,10日均价,20日均价,5日均量,10日均量,20日均量
2018-11-30,2.83,2.99,2.94,2.79,1124685.5,0.04,1.38,3.002,3.135,3.33,1300615.8,1706660.52,2270886.44
2018-11-29,3.07,3.07,2.9,2.89,1219598.12,-0.13,-4.29,3.01,3.201,3.351,1539621.75,1870253.0,2420561.42
2018-11-28,3.04,3.05,3.03,2.86,1404639.5,-0.02,-0.66,3.078,3.272,3.372,1622730.42,1971881.81,2543687.77
2018-11-27,3.09,3.15,3.05,3.01,1178718.75,-0.04,-1.29,3.142,3.333,3.372,1604065.55,2234867.79,2558946.14
2018-11-26,2.96,3.14,3.09,2.96,1575437.12,0.11,3.69,3.208,3.4,3.371,1780942.47,2447192.46,2592828.51
2018-11-23,3.16,3.2,2.98,2.97,2319715.25,-0.26,-8.03,3.268,3.429,3.363,2112705.25,2534863.18,2640743.05
2018-11-22,3.37,3.4,3.24,3.22,1635141.5,-0.11,-3.28,3.392,3.46,3.378,2200884.25,2522008.35,2648084.51
2018-11-21,3.31,3.44,3.35,3.31,1311315.12,-0.03,-0.89,3.466,3.486,3.377,2321033.2,2583380.6,2713429.68
2018-11-20,3.3,3.47,3.38,3.25,2063103.38,-0.01,-0.29,3.524,3.504,3.376,2865670.03,2768969.29,2796112.78
2018-11-19,3.47,3.55,3.39,3.25,3234251.0,-0.21,-5.83,3.592,3.512,3.359,3113442.45,2831921.43,2851579.61
2018-11-16,3.53,3.75,3.6,3.51,2760610.25,-0.01,-0.28,3.59,3.525,3.328,2957021.1,2835112.35,2784203.41
2018-11-15,3.59,3.65,3.61,3.53,2235886.25,-0.03,-0.82,3.528,3.501,3.277,2843132.45,2970869.85,2729978.24
2018-11-14,3.83,3.94,3.64,3.57,4034499.25,-0.08,-2.15,3.506,3.472,3.228,2845728.0,3115493.73,2714437.46
2018-11-13,3.32,3.72,3.72,3.29,3301965.5,0.34,10.06,3.484,3.41,3.191,2672268.55,2883024.49,2617939.31
2018-11-12,3.24,3.44,3.38,3.07,2452144.25,0.09,2.74,3.432,3.341,3.159,2550400.4,2738464.55,2553410.42
2018-11-09,3.39,3.45,3.29,3.21,2191167.0,-0.21,-6.0,3.46,3.297,3.157,2713203.6,2746622.93,2505788.83
