date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-07,2609.34,2614.58,2605.89,2599.28,1090749.88,0.71,0.03,2636.328,2608.95,2629.01,1561316.4,1481092.41,1782418.64
2018-12-06,2629.82,2633.68,2605.18,2603.13,1416616.5,-44.63,-1.68,2632.788,2606.309,2628.659,1621824.47,1563491.98,1804104.31
2018-12-05,2629.83,2660.39,2649.81,2625.91,1545020.5,-16.15,-0.61,2625.24,2610.334,2630.182,1652838.65,1571139.39,1813091.23
2018-12-04,2651.56,2666.08,2665.96,2644.9,1679405.62,11.16,0.42,2615.626,2610.504,2629.758,1635761.5,1599233.79,1822441.19
2018-12-03,2647.13,2665.3,2654.8,2629.18,2074789.5,66.61,2.57,2597.37,2608.493,2629.428,1547197.25,1647184.53,1820305.65
2018-11-30,2564.56,2590.21,2588.19,2555.32,1393290.25,20.75,0.81,2581.572,2613.364,2629.96,1400868.43,1671368.4,1813446.23
2018-11-29,2613.78,2617.55,2567.44,2567.44,1571687.38,-34.3,-1.32,2579.83,2622.456,2634.374,1505159.48,1774238.23,1856295.18
2018-11-28,2575.45,2601.96,2601.74,2561.56,1459634.75,27.06,1.05,2595.428,2632.529,2636.314,1489440.13,1824918.21,1878162.78
2018-11-27,2585.83,2592.54,2574.68,2566.17,1236584.38,-1.13,-0.04,2605.382,2635.579,2636.366,1562706.08,1917404.09,1895456.21
2018-11-26,2580.84,2595.0,2575.81,2568.04,1343145.38,-3.67,-0.14,2619.616,2643.599,2636.035,1747171.8,2043028.1,1916968.15
2018-11-23,2640.67,2642.04,2579.48,2577.35,1914745.5,-65.95,-2.49,2645.156,2649.07,2634.349,1941868.37,2083744.87,1916931.84
2018-11-22,2655.9,2658.0,2645.43,2634.48,1493090.62,-6.08,-0.23,2665.082,2651.009,2635.318,2043316.97,2044716.64,1900662.63
2018-11-21,2619.82,2653.8,2651.51,2617.78,1825964.5,5.66,0.21,2669.63,2650.029,2633.236,2160396.3,2055043.06,1907024.59
2018-11-20,2684.29,2690.83,2645.85,2643.36,2158913.0,-57.66,-2.13,2665.776,2649.012,2630.826,2272102.1,2045648.6,1895756.57
2018-11-19,2681.9,2703.51,2703.51,2674.18,2316628.25,24.4,0.91,2667.582,2650.363,2628.275,2338884.4,1993426.78,1876982.69
2018-11-16,2669.78,2695.57,2679.11,2657.03,2421988.5,10.94,0.41,2652.984,2646.555,2625.843,2225621.37,1955524.05,1867095.5
2018-11-15,2632.14,2668.17,2668.17,2631.89,2078487.25,35.93,1.36,2636.936,2646.292,2619.411,2046116.3,1938352.13,1819657.86
2018-11-14,2648.31,2658.31,2632.24,2627.96,2384493.5,-22.64,-0.85,2630.428,2640.099,2610.324,1949689.82,1931407.34,1778447.75
2018-11-13,2600.5,2666.49,2654.88,2597.35,2492824.5,24.36,0.93,2632.248,2637.153,2606.792,1819195.1,1873508.34,1724200.07
2018-11-12,2593.2,2631.17,2630.52,2590.21,1750313.12,31.65,1.22,2633.144,2628.47,2601.365,1647969.15,1790908.2,1659268.42
2018-11-09,2621.24,2621.24,2598.87,2598.16,1524463.12,-36.76,-1.4,2640.126,2619.628,2598.244,1685426.73,1750118.81,1631040.87
2018-11-08,2660.09,2662.37,2635.63,2632.3,1596354.88,-5.71,-0.22,2655.648,2619.626,2598.646,1830587.95,1756608.63,1639858.53
2018-11-07,2659.84,2675.68,2641.34,2639.25,1732019.88,-18.02,-0.68,2649.77,2616.443,2596.037,1913124.85,1759006.11,1658616.14
2018-11-06,2660.72,2660.86,2659.36,2635.32,1636694.75,-6.07,-0.23,2642.058,2612.639,2600.262,1927821.58,1745864.54,1628758.01
2018-11-05,2665.43,2673.19,2665.43,2639.27,1937601.0,-11.05,-0.41,2623.796,2606.186,2603.345,1933847.25,1760538.6,1605309.23
