date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-07,7741.73,7765.14,7733.89,7712.27,166896832.0,-1.16,-0.01,7857.928,7757.654,7838.648,217849587.2,207090702.4,244942354.4
2018-12-06,7854.59,7872.45,7735.05,7725.99,208415904.0,-193.46,-2.44,7847.5,7747.935,7834.381,221873430.4,216734310.4,246287288.8
2018-12-05,7825.12,7972.98,7928.51,7808.74,224383040.0,-25.21,-0.32,7819.892,7763.829,7832.53,223762076.8,218373801.6,246326602.4
2018-12-04,7916.55,7954.31,7953.72,7890.66,223747648.0,15.25,0.19,7785.604,7761.825,7823.706,222382438.4,220044332.8,246439476.0
2018-12-03,7901.83,7968.09,7938.47,7835.23,265804512.0,256.72,3.34,7721.892,7754.405,7815.583,213738608.0,226191689.6,245773236.8
2018-11-30,7583.84,7688.88,7681.75,7537.92,187016048.0,84.74,1.11,7657.38,7771.443,7810.613,196331817.6,229148736.0,245472355.2
2018-11-29,7800.57,7820.45,7597.01,7597.01,217859136.0,-160.06,-2.06,7648.37,7809.497,7819.903,211595190.4,242219889.6,249536534.4
2018-11-28,7633.37,7757.07,7757.07,7572.65,217484848.0,121.91,1.6,7707.766,7850.006,7818.442,212985526.4,248628408.0,250432849.6
2018-11-27,7657.8,7682.76,7635.16,7589.0,180528496.0,19.25,0.25,7738.046,7865.154,7804.73,217706227.2,258377084.8,249282523.2
2018-11-26,7627.4,7682.2,7615.91,7586.6,178770560.0,-20.79,-0.27,7786.918,7898.004,7791.733,238644771.2,275705774.4,249698981.6
2018-11-23,7882.85,7889.13,7636.7,7616.47,263332912.0,-257.29,-3.26,7885.506,7919.642,7777.05,261965654.4,282794006.4,248516157.6
2018-11-22,7929.79,7950.97,7893.99,7857.81,224810816.0,-14.48,-0.18,7970.624,7920.827,7770.451,272844588.8,275840267.2,244567361.6
2018-11-21,7786.78,7919.07,7908.47,7776.56,241088352.0,28.95,0.37,7992.246,7901.23,7752.222,284271289.6,274279403.2,242911990.4
2018-11-20,8031.36,8054.24,7879.52,7870.41,285221216.0,-229.33,-2.83,7992.262,7885.587,7734.054,299047942.4,272834619.2,240016077.6
2018-11-19,8050.55,8108.85,8108.85,8014.57,295374976.0,46.56,0.58,8009.09,7876.76,7718.827,312766777.6,265354784.0,236818376.0
2018-11-16,8003.47,8116.73,8062.29,7959.14,317727584.0,60.19,0.75,7953.778,7849.783,7700.826,303622358.4,261795974.4,234943773.6
2018-11-15,7889.92,8002.1,8002.1,7884.34,281944320.0,93.55,1.18,7871.03,7830.308,7667.098,278835945.6,256853179.2,228297111.2
2018-11-14,7942.08,7990.45,7908.55,7894.21,314971616.0,-55.11,-0.69,7810.214,7786.877,7626.368,264287516.8,252237291.2,222322562.4
2018-11-13,7733.11,8008.11,7963.66,7718.68,353815392.0,131.37,1.68,7778.912,7744.305,7599.201,246621296.0,240187961.6,215138988.8
2018-11-12,7634.82,7832.82,7832.29,7622.47,249652880.0,183.74,2.4,7744.43,7685.462,7565.967,217942790.4,223692188.8,205331472.0
2018-11-09,7650.17,7705.26,7648.55,7626.17,193795520.0,-49.47,-0.64,7745.788,7634.457,7546.576,219969590.4,214238308.8,200724222.4
2018-11-08,7813.63,7823.6,7698.02,7692.34,209202176.0,-54.02,-0.7,7789.586,7620.074,7542.063,234870412.8,213294456.0,201538660.0
2018-11-07,7783.13,7871.17,7752.04,7745.39,226640512.0,-39.21,-0.5,7763.54,7603.213,7533.366,240187065.6,211544577.6,202826932.8
2018-11-06,7807.09,7807.09,7791.25,7701.51,210422864.0,-47.83,-0.61,7709.698,7582.52,7546.299,233754627.2,207197536.0,198459927.2
2018-11-05,7831.82,7895.54,7839.08,7733.14,259786880.0,-28.46,-0.36,7626.494,7560.894,7559.056,229441587.2,208281968.0,194669879.2
2018-11-02,7763.49,7867.54,7867.54,7709.44,268299632.0,299.75,3.96,7523.126,7551.868,7570.143,208507027.2,208091572.8,189910051.2
2018-11-01,7568.2,7689.57,7567.79,7558.4,235785440.0,84.96,1.14,7450.562,7503.888,7596.821,191718499.2,199741043.2,184270838.4
2018-10-31,7385.98,7526.6,7482.83,7373.75,194478320.0,107.6,1.46,7442.886,7465.858,7635.169,182902089.6,192407833.6,182049348.0
2018-10-30,7271.96,7451.66,7375.23,7189.35,188857664.0,52.99,0.72,7455.342,7454.096,7682.054,180640444.8,190090016.0,181470290.4
2018-10-29,7449.64,7450.38,7322.24,7290.82,155114080.0,-182.48,-2.43,7495.294,7446.471,7730.962,187122348.8,186970755.2,179525913.6
2018-10-26,7582.77,7621.38,7504.72,7476.13,184356992.0,-24.69,-0.33,7580.61,7458.695,7785.309,207676118.4,187210136.0,181649916.0
2018-10-25,7334.52,7543.11,7529.41,7305.77,191703392.0,-15.7,-0.21,7557.214,7464.051,7821.767,207763587.2,189782864.0,181322416.0
2018-10-24,7531.6,7653.24,7545.11,7484.63,183170096.0,-29.88,-0.39,7488.83,7463.519,7857.703,201913577.6,194109288.0,181763735.2
2018-10-23,7752.18,7769.52,7574.99,7523.07,221267184.0,-173.83,-2.24,7452.85,7510.077,7887.108,199539587.2,189722318.4,180632338.4
2018-10-22,7464.92,7816.82,7748.82,7464.92,257882928.0,361.08,4.89,7397.648,7557.217,7908.326,186819161.6,181057790.4,176665846.4
2018-10-19,7097.04,7390.92,7387.74,7084.44,184794336.0,200.25,2.79,7336.78,7588.418,7926.579,166744153.6,171728529.6,171772211.2
2018-10-18,7309.0,7316.19,7187.49,7182.39,162453344.0,-177.72,-2.41,7370.888,7689.753,7965.38,171802140.8,168800633.6,170333592.0
2018-10-17,7390.69,7419.21,7365.21,7206.34,171300144.0,66.23,0.91,7438.208,7804.479,8011.564,186304998.4,171690862.4,168614729.6
2018-10-16,7444.94,7493.15,7298.98,7263.29,157665056.0,-145.5,-1.95,7567.304,7910.012,8051.708,179905049.6,172850564.8,166847452.0
2018-10-15,7571.71,7622.03,7444.48,7430.96,157507888.0,-113.8,-1.51,7716.786,8015.452,8094.684,175296419.2,172081072.0,166734908.0
2018-10-12,7484.86,7595.93,7558.28,7331.81,210084272.0,34.19,0.45,7840.056,8111.922,8138.578,176712905.6,176089696.0,166876866.4
2018-10-11,7753.03,7803.29,7524.09,7481.89,234967632.0,-486.6,-6.07,8008.618,8179.483,8176.872,165799126.4,172861968.0,163595125.6
2018-10-10,8062.46,8090.22,8010.69,7952.13,139300400.0,-35.7,-0.44,8170.75,8251.886,8220.793,157076726.4,169418182.4,160162439.2
2018-10-09,8083.23,8132.15,8046.39,8013.19,134621904.0,-14.44,-0.18,8252.72,8264.139,8247.98,165796080.0,171542358.4,161267778.4
2018-10-08,8225.84,8249.39,8060.83,8055.98,164590320.0,-340.26,-4.05,8314.118,8259.435,8268.438,168865724.8,172273902.4,161802134.4
2018-09-28,8351.63,8405.98,8401.09,8317.48,155515376.0,66.34,0.8,8383.788,8264.74,8288.67,175466486.4,171815892.8,160518092.8
2018-09-27,8411.18,8434.87,8334.75,8331.78,191355632.0,-85.79,-1.02,8350.348,8241.007,8296.256,179924809.6,171866550.4,160611147.2
2018-09-26,8369.52,8485.68,8420.54,8344.72,182897168.0,67.16,0.8,8333.022,8218.648,8313.431,181759638.4,165538596.8,158760968.8
2018-09-25,8336.75,8390.65,8353.38,8311.93,149970128.0,-55.8,-0.66,8275.558,8193.404,8329.092,177288636.8,160844339.2,157744912.0
2018-09-21,8258.02,8419.47,8409.18,8216.68,197594128.0,175.29,2.13,8204.752,8173.915,8347.851,175682080.0,161388744.0,159168213.6
2018-09-20,8241.7,8295.13,8233.89,8218.38,177806992.0,-14.23,-0.17,8145.692,8165.233,8351.629,168165299.2,157664036.8,156314500.8
2018-09-19,8111.24,8313.62,8248.12,8097.23,200529776.0,114.9,1.41,8131.666,8174.26,8365.004,163808291.2,154328283.2,154430405.6
2018-09-18,7970.45,8133.9,8133.22,7958.52,160542160.0,133.87,1.67,8104.274,8189.699,8375.335,149317555.2,150906696.0,151075227.6
2018-09-17,8068.06,8074.79,7999.35,7977.44,141937344.0,-114.53,-1.41,8111.25,8231.821,8396.127,144400041.6,150993198.4,150473814.0
2018-09-14,8173.56,8180.7,8113.88,8090.4,160010224.0,-49.88,-0.61,8143.078,8277.441,8416.867,147095408.0,151330366.4,150868933.2
2018-09-13,8196.21,8227.2,8163.76,8038.12,156021952.0,52.6,0.65,8184.774,8312.6,8429.025,147162774.4,149220292.8,150505768.4
2018-09-12,8162.17,8196.86,8111.16,8095.01,128076096.0,-56.94,-0.7,8216.854,8351.504,8445.858,144848275.2,149355744.0,150559942.0
2018-09-11,8155.95,8216.62,8168.1,8112.0,135954592.0,9.61,0.12,8275.124,8408.214,8469.359,152495836.8,151983340.8,152327756.4
2018-09-10,8310.46,8311.91,8158.49,8155.35,155414176.0,-163.87,-1.97,8352.392,8464.779,8500.199,157586355.2,154645484.8,153136511.6
2018-09-07,8344.57,8462.39,8322.36,8270.4,160347056.0,-1.8,-0.02,8411.804,8521.786,8534.518,155565324.8,156947683.2,153413490.8
2018-09-06,8369.3,8450.89,8324.16,8295.48,144449456.0,-78.35,-0.93,8440.426,8538.024,8559.074,151277811.2,154964964.8,153378390.0
2018-09-05,8519.57,8536.84,8402.51,8402.51,166313904.0,-151.93,-1.78,8486.154,8555.747,8580.476,153863212.8,154532528.0,156148777.2
2018-09-04,8454.14,8573.2,8554.44,8420.88,161407184.0,98.89,1.17,8541.304,8560.971,8585.312,151470844.8,151243759.2,156417757.2
2018-09-03,8440.95,8459.95,8455.55,8344.93,145309024.0,-9.92,-0.12,8577.166,8560.433,8591.291,151704614.4,149954429.6,156943601.2
