ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,pct_chg
600031.SH,20180827,20180630,0.441,0.418,3.6342,3.6342,0.1993,0.3832,2.2316,-94066000.0,3482625000.0,8898990000.0,1.5644,1.2415,1.1587,1.4634,0.6835,2.2513,0.4482,4279889000.0,4372806000.0,5326009000.0,6189306901.5402,7927497901.5402,22517724000.0,1249213000.0,14563459000.0,3692268000.0,22328878000.0,16626132000.0,12694647000.0,43491402000.0,20235427000.0,0.4379,3.5676,0.8038,2.6149,0.8785,0.5651,0.7998,1.0244,12.4964,31.6422,68.3578,14.4258,12.4964,9.0979,4.5093,0.8186,1.4398,84.782,15.4387,15.5484,12.6735,12.43,13.0253,6.9688,5.6009,8.6758,25.347,13.9376,56.9898,2.325,2.3468,68.5172,31.4828,33.1987,33.4858,64.3279,76.8514,23.1486,0.2112,1.325,0.7299,1.921,0.5825,1.5332,6.0475,0.1623,203.3046,11.2018,5.4003,13071649000.0,15.0639,9.2341,82.5188,6.8274,8.1013,2.9936,22.7265,192.053,176.8212,4.4303,168.9732,166.4637,192.0895,248.33,5.5454,152.5904,8.9843,15.4894,9.7245,46.4186,46.4186,62.3929,35.9854,15.6376,-2.7027
600165.SH,20180831,20180630,-0.006,-0.006,0.4897,0.4897,0.4919,0.046,-0.2848,1722580.1,-5947849.31,23700688.75,1.1882,1.097,0.2296,8.6947,0.2257,1.9785,0.1483,-11339931.49,13851520.36,20988159.29,111679041.36,99679041.36,866213772.06,659859.32,340000000.0,100164311.7,835334569.74,226956624.73,327120936.43,1358562977.12,-163544563.4,-0.0062,1.2535,-0.1801,-0.2388,0.182,0.0202,0.1631,0.1455,-0.4364,7.0667,92.9333,9.8503,-0.4364,2.0514,3.3967,4.4022,0.0405,103.3811,-0.7567,4.13,-0.4909,-0.491,-0.6911,0.6123,-0.0647,2.7514,-0.9818,1.2246,54.2309,2.1849,2.6285,64.3995,35.6005,37.5358,25.0264,63.1904,99.9453,0.0547,-0.1022,1.1849,0.7113,2.5249,0.6921,2.4569,8.3396,-0.1022,79.4721,-0.1294,-0.1868,202689604.73,-0.1521,1.9132,102.7872,-0.5472,-0.6084,-0.1237,-67.2296,66.6667,66.6667,-249.031,43.3884,87.83,65.0161,57.1046,-249.135,68.0394,-0.5001,-3.2017,-0.503,-40.5339,-40.5339,-47.2369,-303.7339,9.4596,-32.4903
600169.SH,20180829,20180630,0.0022,0.0022,1.0674,1.0674,0.6437,0.1061,-0.1373,26626028.44,-21044456.87,752526453.16,1.0017,0.6097,0.5148,0.3683,0.1206,0.4673,0.0869,-4443347.25,351498935.74,556839766.45,-513624919.1377,522462510.0723,12527990060.66,1897205884.6,13992043680.21,10083494718.75,2454222091.09,39653044.64,7251125635.46,18158812809.87,-79991428.97,0.0022,1.6129,0.0022,-0.0312,0.2612,0.1371,-0.2003,0.2038,0.0938,27.4976,72.5024,27.4678,0.0938,4.1804,9.7136,13.5738,-0.7486,100.1624,0.715,12.8439,0.1351,0.13,-0.5093,1.1161,0.0082,0.2291,0.2702,2.2322,87.2122,7.82,7.6214,72.6972,27.3028,7.532,77.0537,22.7736,83.2171,16.7829,0.0002,6.82,0.1455,0.2956,0.0864,0.1754,0.2434,0.0002,1282.3828,0.0164,0.0177,6881733760.96,0.8209,2.3967,100.132,0.0621,-0.3289,0.004,13.6845,-60.7143,-60.7143,-84.7222,62.5645,6.8845,-61.2256,-28.83,-84.6329,-61.6217,0.1428,7.1642,0.1442,-15.2805,-15.2805,-14.3677,-18.7865,1.0321,-5.9055
600172.SH,20180831,20180630,0.083,0.083,1.1729,1.1729,1.2836,0.156,1.0191,6162874.31,116393468.77,556022685.51,1.0157,0.8235,0.6304,1.3628,0.415,0.4172,0.1574,139222360.72,282767717.61,466372007.98,-476719972.9461,522782027.0539,1490105521.28,450638733.54,4739716261.81,3449061688.02,4385512068.33,72090766.62,1889902459.29,9641498096.51,1734775312.33,0.083,3.3205,-0.0393,1.1751,0.3263,0.1915,-0.3229,0.3541,7.0046,32.1095,67.8905,21.4607,7.0046,2.0166,11.5053,7.9387,1.1755,91.9601,8.3231,16.3294,2.5325,2.53,2.4052,2.5703,1.1025,2.5837,5.065,5.1406,57.6785,2.3629,2.2734,40.3261,59.6739,37.8641,49.1595,50.8433,68.8361,31.1639,-0.0126,1.3629,0.7338,1.0343,0.6565,0.9253,1.2715,-0.0087,259.9946,2.205,1.114,5465600394.0,8.4362,2.1596,90.2604,1.9342,1.8053,0.8248,-1.7222,37.1901,37.1901,-250.5747,36.7286,38.9747,42.0861,48.76,-255.9628,39.3121,2.47,11.1451,2.6288,32.7359,32.7359,69.8498,185.8739,1.9912,-15.6818
600218.SH,20180828,20180630,0.1,0.1,5.0633,5.0633,2.8322,0.2722,1.0763,17329983.12,19740035.63,208695827.58,1.4776,1.1063,0.9448,2.9374,0.7126,2.0178,0.4926,27508989.7,39042227.18,91622745.76,60181818.3145,60181818.3145,1783831685.2,58317037.65,25050430.37,-250070306.62,1857896468.4,863926523.65,613856217.03,1999396908.95,497273123.1,0.1005,5.2431,-0.2893,1.3485,0.1196,0.1059,0.1632,0.1632,1.8914,11.1774,88.8226,7.9763,1.8914,2.5483,5.6723,-0.2443,1.2398,98.5267,2.3854,2.091,1.9259,1.93,1.0256,1.03,0.9316,1.5754,3.8518,2.06,48.6054,1.9457,1.9694,69.5764,30.4236,48.3633,1.2529,96.7005,96.8768,3.1232,-0.059,0.9457,1.0355,77.1814,0.995,74.1662,,-0.0571,128.3378,1.8632,0.9779,1056881628.67,2.357,3.0285,98.8281,0.6768,0.3994,0.3129,-6.5651,-23.0769,-23.0769,65.3574,-19.6306,-21.6908,-21.5489,-36.84,65.3533,-22.9839,0.9026,2.7239,0.9022,11.3291,11.3291,22.186,-44.3306,1.8632,4.5802
600243.SH,20180828,20180630,-0.11,-0.11,0.7603,0.7603,2.8319,0.0543,-0.0192,12511731.45,-62838119.57,43994460.27,1.8078,0.9275,0.757,0.5643,0.1724,0.4623,0.1129,-76530636.04,-52761892.11,-22639375.44,63504224.64,7304224.64,626279086.69,70605206.54,451500000.0,402953421.35,1495820867.8,864149766.94,1259103188.29,2262677315.17,15423471.87,-0.1147,3.8639,0.0531,0.0351,-0.1231,-0.1202,0.1447,0.0166,-17.8432,13.1851,86.8149,34.967,-17.8432,9.7073,22.9133,2.3464,0.0269,122.9362,-19.3609,-15.8127,-2.917,-2.92,-3.6422,-1.7848,-2.0139,-2.2693,-5.834,-3.5696,38.8025,1.6341,1.7135,65.3451,34.6549,50.542,19.9542,74.9413,93.1551,6.8449,0.0218,0.6341,1.4766,3.7557,1.3025,3.313,3.7121,0.0203,891.3163,-4.0278,-1.7024,757662585.73,-18.0842,8.0355,120.7665,-1.197,-1.8641,-0.9153,4.9101,-200.0,-200.0,127.2029,-229.6785,-210.8057,-208.5173,-80.8315,127.2144,-213.833,-3.3759,0.2242,-3.3748,-29.5454,-29.5454,-29.1517,-2.4311,-4.6697,-7.3786
600262.SH,20180821,20180630,0.4066,0.4066,3.6456,3.6456,2.3761,2.0573,0.9961,24608560.77,44519507.48,133715301.98,1.7089,1.1794,1.0046,1.2733,0.3817,2.1227,0.29,46220302.86,135076614.37,150926296.45,-326277684.1,-232308150.24,607902932.16,118969624.86,400000000.0,147286311.82,960856680.5,714482838.93,861769150.75,1508268177.35,519080325.4,0.4066,6.5192,-1.0478,3.0534,-0.6824,0.7946,-1.9193,-1.3665,27.7305,21.5757,78.4243,10.2455,27.7305,5.1977,4.4492,0.5986,2.3716,92.5421,8.4607,21.7953,6.3964,6.35,4.1194,6.321,8.0423,9.7887,12.7928,12.642,50.4162,2.0168,1.9773,77.0594,22.9406,42.9886,26.5205,73.4795,89.4425,10.5575,-0.1767,1.0168,0.9835,2.7707,0.8527,2.4021,6.5237,-0.1581,320.4695,16.0846,3.2349,291020429.04,20.9258,5.9704,92.5827,5.8245,2.3464,7.8957,-12.7484,215.3846,215.3846,-1065.5172,168.0227,405.1782,224.3544,167.72,-1065.1513,203.2668,5.2265,9.633,5.2276,130.5175,130.5175,92.2146,14.4477,6.9535,-4.7017
600302.SH,20180831,20180630,-0.0782,-0.0782,1.0977,1.0977,1.0041,0.6665,0.7487,2354281.22,-29429110.09,74181630.14,3.761,2.3991,1.7643,1.1553,0.2938,1.916,0.2306,-25713698.98,-24174642.6,-11498337.49,-109877291.7,-111600591.72,339842613.35,7686958.78,25801345.05,-194085496.54,1093407317.56,943261923.25,725175081.66,1286774345.46,489666306.42,-0.0782,3.4201,-0.1488,1.4152,-0.2385,-0.0699,-0.3176,-0.3225,-6.7095,19.5305,80.4695,23.026,-6.7095,7.4076,15.555,0.0635,2.2924,106.7699,-6.0267,-6.3647,-2.2619,-2.26,-2.4586,-1.4675,-1.5471,-2.0271,-4.5238,-2.935,22.8434,1.2961,1.3762,78.6209,21.3791,66.9035,2.0051,91.9645,91.512,8.488,-0.1507,0.2961,3.1698,45.8649,2.9288,42.3779,,-0.1379,430.2358,-3.0942,-1.6436,247086610.31,-6.1524,8.9091,109.0482,-1.2761,-1.3222,-0.9,-7.9224,-5685.7143,-5685.7143,-12.8127,-12.1927,-806.2202,-5560.822,-9.1314,-12.7727,-5716.094,-2.2493,-1.5632,-2.25,0.6223,0.6223,-10.6075,-57.8214,-2.7648,-8.2073
600320.SH,20180829,20180630,0.04,0.04,2.2941,2.2941,1.2589,0.3687,0.7157,40331633.0,121787133.0,1851259107.0,0.9289,0.7087,0.2765,2.3781,0.2835,0.5786,0.1466,101947862.0,806733999.0,1515976570.0,-2568679399.9672,-269943538.9672,10495950242.0,3342428215.0,39169822019.0,34345588692.0,10436530044.0,-2744266386.0,20518083277.0,56005464340.0,4760829434.0,0.0369,3.3995,0.0116,1.0844,-0.2084,0.1838,-0.5851,-0.0615,1.3185,18.381,81.619,16.2774,1.3185,0.5289,8.5996,7.149,0.5098,98.9878,1.9432,8.01,1.0831,1.08,0.8136,1.1746,0.1934,0.9929,2.1662,2.3492,75.8953,4.1486,4.5885,51.312,48.688,14.9427,69.9393,26.6491,72.786,27.214,0.0013,3.1486,0.2816,0.381,0.1969,0.2664,0.3039,0.001,246.113,0.3868,0.236,21070585628.0,1.9537,0.5665,98.7369,0.5238,0.3287,0.1151,0.5594,33.3333,33.3333,10.4762,40.3714,27.7733,40.4461,11.16,10.3273,40.01,-0.5762,3.4418,-0.5754,-5.1351,-5.1351,-15.822,54.2914,0.3115,-21.709
600346.SH,20180728,20180630,0.39,0.39,5.2352,5.2352,4.0488,0.0798,0.413,457014936.25,1425257736.52,3855309236.19,1.1793,0.9997,0.86,98.3227,1.1157,1.6045,0.4652,1933532257.3,2795618918.95,3727012290.02,-13437516825.8043,9891886100.5057,10264058941.61,2544452693.22,52984392689.0,29740270749.17,22988733729.76,5860832592.08,5035776705.25,81221969483.15,2489633680.5,0.3725,5.5415,0.3295,0.4927,3.3558,0.5533,-2.6594,1.9577,7.2011,14.5746,85.4254,6.6806,7.2011,1.0044,2.7119,2.9643,0.0533,92.6905,8.2064,10.5685,10.7083,8.42,8.1083,4.9169,3.3503,5.0742,21.4166,9.8338,69.9698,3.33,3.2346,40.9909,59.0091,24.4482,65.2341,34.4737,49.6758,50.3242,0.0509,2.33,0.4256,0.5285,0.3494,0.4339,0.773,0.0253,34.4294,6.7006,3.3105,45785420754.6,8.1906,0.8838,94.4953,3.2325,2.4319,0.9529,6.0249,116.6667,116.6667,920.1238,134.6338,134.1487,132.609,171.97,370.3393,-28.2903,118.8413,377.695,291.3257,26.8706,26.8706,22.4927,-12.9628,366.8116,-1.8663
