时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2017-10-09,一",56.1,56.5,54.71,54.76,1.11%,3.31%,"88,236,199","4,894,508,100",0.815,64513
"2017-10-10,二",54.86,55.52,53.81,54.92,0.29%,3.12%,"96,068,320","5,234,374,200",0.887,63152
"2017-10-11,三",54.9,55.72,54.55,55.31,0.71%,2.13%,"66,452,795","3,671,752,200",0.613,52034
"2017-10-12,四",55.2,57.19,55.12,57.11,3.25%,3.74%,"89,855,011","5,060,866,900",0.829,81848
"2017-10-13,五",56.91,57.43,56.73,57.08,-0.05%,1.23%,"50,815,330","2,898,031,500",0.469,45998
"2017-10-16,一",57.5,58.55,57.09,57.17,0.16%,2.56%,"74,976,923","4,336,232,600",0.692,61156
"2017-10-17,二",57.41,58.26,57.2,57.94,1.35%,1.85%,"63,781,573","3,687,434,200",0.589,50468
"2017-10-18,三",58.06,59.03,57.87,58.98,1.79%,2.00%,"71,037,948","4,156,056,200",0.656,57556
"2017-10-19,四",59.06,59.95,58.8,59.59,1.03%,1.95%,"74,113,891","4,412,200,200",0.684,60542
"2017-10-20,五",59,59.45,58.64,59.02,-0.96%,1.36%,"45,688,147","2,696,601,800",0.422,45190
"2017-10-23,一",59.73,60.18,59.2,59.88,1.46%,1.66%,"51,239,175","3,066,104,000",0.473,47299
"2017-10-24,二",59.77,61.06,59.63,60.2,0.53%,2.39%,"70,533,642","4,268,526,200",0.651,51432
"2017-10-25,三",60.1,60.44,59.71,60.08,-0.20%,1.21%,"38,645,697","2,322,425,400",0.357,37177
"2017-10-26,四",60,62.26,59.86,61.39,2.18%,3.99%,"83,684,094","5,137,430,600",0.773,67371
"2017-10-27,五",61.5,63.98,61.48,63.93,4.14%,4.07%,"87,686,093","5,509,478,200",0.809,74277
"2017-10-30,一",64,65.3,63.13,64.06,0.20%,3.39%,"118,383,153","7,608,700,700",1.09,97214
"2017-10-31,二",63.5,64.5,63.31,64.36,0.47%,1.86%,"51,366,189","3,284,189,900",0.474,55455
"2017-11-01,三",64.47,66.28,63.72,64.12,-0.37%,3.98%,"100,111,909","6,497,719,300",0.924,87756
"2017-11-02,四",64.2,64.39,63,64.14,0.03%,2.17%,"82,494,651","5,249,507,400",0.762,60562
"2017-11-03,五",64,64.84,63.48,64.45,0.48%,2.12%,"68,143,978","4,374,187,700",0.629,53258
"2017-11-06,一",64.69,64.7,62.92,64.01,-0.68%,2.76%,"90,857,015","5,784,912,600",0.839,77951
"2017-11-07,二",64.3,66.57,64.3,65.37,2.12%,3.55%,"117,356,586","7,697,028,200",1.08,90955
"2017-11-08,三",65.4,66.35,64.32,64.61,-1.16%,3.11%,"86,782,083","5,669,830,800",0.801,80224
"2017-11-09,四",64.5,66.39,64.4,66.33,2.66%,3.08%,"70,866,925","4,620,472,300",0.654,61919
"2017-11-10,五",66,69.95,65.93,69.89,5.37%,6.06%,"125,406,037","8,577,347,700",1.16,109127
"2017-11-13,一",70.1,70.57,69.48,70.15,0.37%,1.56%,"75,220,717","5,267,341,000",0.694,78565
"2017-11-14,二",70.69,71.29,69.77,70.42,0.38%,2.17%,"80,174,828","5,652,540,400",0.74,77577
"2017-11-15,三",69.98,70.43,68.59,69.2,-1.73%,2.61%,"100,945,992","6,990,987,900",0.932,86446
"2017-11-16,四",68.8,73.11,68.75,73.01,5.51%,6.30%,"116,376,446","8,269,151,200",1.07,100472
