日期,开盘价,最高价,收盘价,最低价,成交量,价格变动,涨跌幅,5日均价,10日均价,20日均价,5日均量,10日均量,20日均量
2018/11/30,10.22,10.36,10.36,10.17,594715.31,0.16,1.57,10.272,10.426,10.55,573553.66,712931.61,854696.72
2018/11/29,10.35,10.39,10.2,10.19,485284.03,-0.08,-0.78,10.264,10.447,10.587,594682.23,759419.33,935607.11
2018/11/28,10.17,10.31,10.28,10.16,537751.44,0.1,0.98,10.334,10.489,10.618,597678.99,801037.13,988481.72
2018/11/27,10.35,10.39,10.18,10.16,733448.38,-0.16,-1.55,10.4,10.505,10.65,623360.17,824685.97,1019228.34
2018/11/26,10.34,10.46,10.34,10.3,516569.12,0.02,0.19,10.478,10.541,10.686,683445.99,858590.89,1057647.31
2018/11/23,10.53,10.58,10.32,10.31,700358.19,-0.23,-2.18,10.58,10.563,10.706,852309.57,898967.37,1111400.3
2018/11/22,10.67,10.67,10.55,10.48,500267.84,-0.06,-0.57,10.63,10.586,10.749,924156.43,991858.46,1141381.14
2018/11/21,10.5,10.67,10.61,10.48,666157.31,0.04,0.38,10.644,10.62,10.786,1004395.26,1021229.28,1200618.32
2018/11/20,10.75,10.8,10.57,10.52,1033877.5,-0.28,-2.58,10.61,10.64,10.808,1026011.76,1033173.29,1258781.68
2018/11/19,10.57,10.88,10.85,10.57,1360887,0.28,2.65,10.604,10.667,10.821,1033735.79,1003358.12,1287215.1
2018/11/16,10.61,10.72,10.57,10.49,1059592.5,-0.05,-0.47,10.546,10.674,10.836,945625.17,996461.83,1351447.9
2018/11/15,10.44,10.64,10.62,10.42,901462,0.18,1.72,10.542,10.726,10.846,1059560.5,1111794.88,1402651.65
2018/11/14,10.53,10.55,10.44,10.42,774239.81,-0.1,-0.95,10.596,10.747,10.819,1038063.3,1175926.32,1407636.35
2018/11/13,10.41,10.65,10.54,10.38,1072497.62,-0.02,-0.19,10.67,10.794,10.814,1040334.82,1213770.71,1436468.85
2018/11/12,10.46,10.58,10.56,10.38,920333.94,0.01,0.1,10.73,10.83,10.805,972980.45,1256703.74,1452690.02
2018/11/9,10.71,10.73,10.55,10.4,1629269.12,-0.34,-3.12,10.802,10.849,10.783,1047298.49,1323833.22,1476807.59
2018/11/8,10.88,10.97,10.89,10.82,793976,0.08,0.74,10.91,10.912,10.77,1164029.26,1290903.82,1471184.64
2018/11/7,10.83,10.95,10.81,10.75,785597.44,-0.03,-0.28,10.898,10.952,10.719,1313789.34,1380007.36,1531243.04
2018/11/6,10.87,10.93,10.84,10.73,735725.75,-0.08,-0.73,10.918,10.975,10.701,1387206.6,1484390.08,1541723.17
2018/11/5,10.95,11.04,10.92,10.82,1291924.12,-0.17,-1.53,10.93,10.975,10.687,1540427.03,1571072.09,1558141.09
